"Tag ID","Hostname","Model (PID)","Serienummer (SN)","CLEI","OS Versie"
"3","Switch","WS-C3560-24TS-S","CAT1126NHR5","N/A","12.2(35)SE5"
"4","Switch","WS-C3560-24TS-S","CAT1046RJPB","N/A","15.0(2)SE4"
"2","Switch","WS-C2960-24TT-L","FOC1047X4Z1","N/A","15.0(2)EZ"
"1","Switch","WS-C3560V2-24PS-E","FDO1646X0BH","N/A","12.2(55)SE5"
"5","Switch","WS-C3560-48TS-S","FDO1301Z06Y","N/A","12.2(55)SE11"
"6","Switch","WS-C3560-48TS-S","FDO1301Z06Y","N/A","12.2(55)SE11"
"7","emirhansw2","WS-C2960+24TC-L","FCW2339A3FF","N/A","15.2(2)E8"
"8","SW1","WS-C2960-24TT-L","FCQ1643Y368","N/A","12.2(55)SE5"
"9","SW2","WS-C2960+24TC-L","FCW2339A3QU","N/A","15.2(2)E8"
"10","Switch","WS-C2960-24TT-L","FCQ1643Y32X","N/A","12.2(55)SE5"
"11","Switch","WS-C2960+24TC-L","FOC2338Y0K6","N/A","15.2(2)E8"
"12","Switch","WS-C3560-24TS-S","CAT1047RK2N","N/A","12.2(35)SE5"
"13","Switch","WS-C2960G-24TC-L","FOC1416V4VH","N/A","12.2(55)SE9"
"14","Switch","WS-C3560-24TS-S","CAT1047RK2N","N/A","12.2(35)SE5"
"15","Switch","WS-C3560-48TS-S","FDO1301Z096","N/A","12.2(55)SE11"
"16","SW1Mehdi","WS-C2960-48TC-L","FOC1026X1WJ","N/A","15.0(2)SE4"
"17","SW-A","WS-C2960-48TC-L","FOC1029X7PH","N/A","12.2(25)FX"
"18","Switch","WS-C2960+24TC-L","FOC2124Z4C7","N/A","15.2(2)E6"
"19","Switch","WS-C2960-24TT-L","FCQ1643Y363","N/A","12.2(55)SE5"
"20","Switch","WS-C2960-24TT-L","FCQ1643Y36Y","N/A","12.2(55)SE5"
"21","Switch","WS-C2960-24TT-L","FOC1008X2FS","N/A","12.2(25)FX"
"22","Switch","WS-C2960+24TC-L","FCW2339A3QU","N/A","15.2(2)E8"
"23","Switch","WS-C2960-24TT-L","FOC1227V26N","N/A","12.2(55)SE9"
"24","Switch-1","WS-C2960-24TT-L","FOC1127W09M","N/A","12.2(46)SE"
"25","Switch-0","WS-C2960+24TC-L","FOC2338Y0UR","N/A","15.2(2)E8"
"2626","SW-RECHTS","WS-C2960-24TT-L","FCQ1645Y1HF","N/A","12.2(55)SE9"
"26","SW-RECHTS","WS-C2960-24TT-L","FCQ1645Y1HF","N/A","12.2(55)SE9"
"27","SW-LINKS","WS-C2960-24TT-L","FOC1227Z22K","N/A","12.2(55)SE"
"28","Switch","WS-C2960-24TT-L","FOC1227X78H","N/A","12.2(35)SE5"
"29","SW2","WS-C2960-24TT-L","FCQ1644X4MQ","N/A","15.0(2)SE4"
"30","SW1","WS-C3560-48TS-S","FDO1301Z071","N/A","15.0(2)SE11"
"31","SWTarik1","WS-C2960-48TC-L","FOC1122U5YD","N/A","12.2(25)SEE3"
"32","swTarik2","WS-C2960-48TC-L","FOC1209Z5Z4","N/A","15.0(2)EZ"
"33","SW2","WS-C2960+24TC-L","FCW2339A3LU","N/A","15.2(2)E8"
"34","Switch0","WS-C2960+24TC-L","FCW2339A3LX","N/A","15.2(2)E8"
"35","SW-B","WS-C2960-24TT-L","FCQ1645Y1GZ","N/A","12.2(55)SE9"
"36","SW2","WS-C2960+24TC-L","FCW2339A3LC","N/A","15.2(2)E8"
"37","Switch","WS-C2960-48TC-L","FOC1324W22R","N/A","15.0(2)SE4"
"38","SW1","WS-C2960-48TC-L","FOC1021X0XT","N/A","12.2(25)SEE3"
"39","SW2","WS-C2960+24TC-L","FCW2339A3M0","N/A","15.2(2)E8"
"40","Switch","WS-C2960+24TC-L","FOC2338Y0XC","N/A","15.2(2)E8"
"41","Switch","WS-C2960+24TC-L","FCW2339A3M1","N/A","15.2(2)E8"
"42","Switch","WS-C2960-24TT-L","FOC1211W165","N/A","15.0(2)EZ"
"43","Router","CISCO2811","FCZ123170SM","N/A","12.4(15)T3"
"44","Router","CISCO2801","FCZ12019006","N/A","12.4(16b)"
"45","Router","CISCO2811","FCZ123170SM","N/A","12.4(15)T3"
"46","david2","CISCO2801","FCZ12019004","N/A","12.4(20070109:001739)"
"47","Router","CISCO2811","FCZ11527226","N/A","12.4(15)T3"
"48","Router","CISCO2811","FCZ123170SQ","N/A","15.1(4)M12a"
"49","david","CISCO2811","FCZ092972K9","N/A","12.4(24)T"
"50","Tarik1","CISCO2811","FCZ123170S9","N/A","12.4(15)T3"
"51","Router","CISCO2811","FCZ123170SE","N/A","15.1(4)M12a"
"52","Muslim2","CISCO2811","FCZ123170SL","N/A","12.4(15)T3"
"53","Router","CISCO2801","FCZ131112KK","N/A","12.4(22)T"
"54","Router","CISCO2811","FCZ123170S3","N/A","15.1(4)M12a"
"55","semih2","CISCO2811","FCZ11527227","N/A","12.4(24)T"
"56","semih","CISCO2811","FCZ092972K8","N/A","12.4(15)T3"
"57","Router","CISCO2811","FCZ123170SP","N/A","12.4(15)T3"
"58","alper","CISCO2801","FCZ132210QG","N/A","12.4(22)T"
"59","Router","CISCO2811","FCZ092972K7","N/A","12.4(15)T3"
"60","Router","CISCO2811","FCZ123170S7","N/A","12.4(1a)"
"61","Router","CISCO2801","FCZ132210Q4","N/A","12.4(22)T"
"62","alper2","CISCO2801","FCZ132210QF","N/A","12.4(22)T"
"63","Router","ISR4321/K9","FDO2326A05C","N/A","16.12.4"
"64","a2","ISR4321/K9","FDO2325A22H","N/A","16.6.4"
"65","Router","ISR4321/K9","FDO2326A05D","N/A","16.12.4"
"66","pierre","ISR4321/K9","FDO2326A05F","N/A","16.6.4"
"67","Router","ISR4321/K9","FDO2325A22G","N/A","16.6.4"
"68","hicham1","ISR4321/K9","FDO2325A22B","N/A","16.6.4"
"69","Router","ISR4321/K9","FDO2327A32A","N/A","16.12.4"
"70","Router","ISR4321/K9","FDO2325A22A","N/A","16.6.4"
"71","ilias2","ISR4321/K9","FDO2326A058","N/A","16.6.4"
"72","Alexandre1","CISCO1941/K9","FGL16471262","N/A","15.1(4)M4"
"73","amin2","CISCO1941/K9","FGL170310BL","N/A","15.1(4)M4"
"74","Router","CISCO1941/K9","FCZ1651939Q","N/A","15.1(4)M4"
"75","Router","CISCO1941/K9","FGL1647124A","N/A","15.6(1)T0a"
"76","Router","CISCO1941/K9","FGL170310BM","N/A","15.4(3)M4"
"77","Router","CISCO1941/K9","FGL170310BH","N/A","15.4(3)M4"
"78","Router","CISCO1941/K9","FCZ2117B0BW","N/A","15.4(3)M3"
"79","Router","CISCO1941/K9","FCZ1651938H","N/A","15.4(3)M4"
"80","amin1","ISR4321/K9","FDO2325A22F","N/A","16.6.4"
"81","Router","ISR4321/K9","FDO2326A05A","N/A","16.6.4"
"82","Router","CISCO1941/K9","FGL170310BM","N/A","15.4(3)M4"
"83","Router","CISCO1941/K9","FGL1651135L","N/A","15.1(4)M4"
"84","Router","CISCO1941/K9","FGL170310BG","N/A","15.1(4)M4"
"85","Router","CISCO2801","FCZ132210QF","N/A","12.4(22)T"
"86","Router","CISCO2811","FCZ112370DZ","N/A","15.1(3)T"
"87","Router","CISCO2811","FCZ092972K8","N/A","12.4(15)T3"
"88","Onbekend","Onbekend","Onbekend","N/A","Onbekend"
"88","Router","CISCO2811","FCZ11527227","N/A","12.4(24)T"
"89","Router","CISCO2801","FCZ132210QG","N/A","12.4(22)T"
"90","Switch","WS-C2960+24TC-L","FCW2339A3MB","N/A","15.2(2)E8"
"92","Router","CISCO2801","FCZ132210Q2","N/A","12.4(22)T"
"93","Router","CISCO2811","FCZ123170SL","N/A","12.4(15)T3"
"94","Router","CISCO2811","FCZ123170S9","N/A","12.4(15)T3"
"95","Router","CISCO2801","FCZ12019001","N/A","12.4(20070109:001739)"
"2500083","Switch","WS-C3560-24PS-S","CAT0834X22Z","N/A","12.2(53)SE"
"2500245","Switch","WS-C3560-24PS-E","FDO1342Z9VB","12.2(46)SE"
"2501100","SW1","WS-C3560-24PS-E","FDO1138Y31T","12.2(35)SE5"
"2500610","Switch","WS-C3560-24PS-E","FDO1223Z33L","12.2(35)SE5"
"2500676","C2960-G0-V1-A","WS-C3560-24PS-S","CAT1104NH0X","12.2(46)SE"
"2501752","Switch","WS-C3560-24PS-E","FDO1222Z03N","12.2(35)SE5"
"2500190","Switch","WS-C3560-24PS-E","FDO1224Y2TZ","12.2(35)SE5"
"2501796","Switch","WS-C3560-24PS-E","FDO1139Z7J2","12.2(46)SE"
"2500444","Switch","WS-C3560-24PS-S","FDO1208X4YZ","12.2(46)SE"
"2500750","Switch","WS-C3560-24PS-S","FDO1117Y2CE","12.2(25)SEE3"
"2500481","Switch","WS-C3560-48PS-E","FDO1307Y3BK","12.2(25)SEE3"
"2500046","Switch","WS-C3560-48PS-S","CAT1020N06B","12.2(55)SE11"
"2501413","Switch","WS-C3560-48PS-S","CAT1123NK33","12.2(55)SE11"
"2501925","Switch","WS-C3560-48PS-S","CAT1022R1MV","12.2(25)SEE3"
"2501520","Switch","WS-C3560-48PS-S","FDO1302X2C2","12.2(55)SE11"
"2501951","Switch","WS-C3560-48PS-S","CAT1020N089","12.2(25)SEE3"
"2501251","Switch","WS-C2960-48TC-L","FOC1021X0Y7","15.0(2)SE4"
"2501310","Switch","WS-C2960-48TC-L","FOC1021X0WT","15.0(2)SE4"
"2500131","Switch","WS-C2960-48TC-L","FOC1021X15Y","15.0(2)SE4"
"2501166","Switch","WS-C3560-48PS-E","FDO1421X1ZW","12.2(46)SE"
"2500595","Switch","WS-C3560-48PS-E","FDO1331X4PV","12.2(25)SEE3"
"2501461","Switch","WS-C3560-48PS-E","FDO1307Y3BD","12.2(55)SE9"
"2500680","Switch","WS-C2960G-24TC-L","FOC1038X23S","12.2(55)SE9"
"2500400","S2","WS-C2960-48TC-L","FOC1021X0ZK","15.0(2)SE4"
"2501284","Switch","WS-C2960-48TC-L","FOC1021X14B","15.0(2)SE4"
"2500315","Switch","WS-C2960-48TC-L","FOC1021X0XZ","12.2(25)SEE3"
"2501155","MultiLayerR1.0","WS-C3560-48PS-E","FDO1215Y4ZU","12.2(25)SEE3"
"2501715","Switch","WS-C2960-48TC-L","FOC1021X0YZ","15.0(2)SE4"
"2500411","Switch","WS-C2960-48TC-L","FOC1315Z1S2","12.2(55)SE9"
"2501203","Switch","WS-C2960-24TT-L","FOC1211W168","12.2(35)SE5"
"2501295","Switch","WS-C2960-48TC-L","FOC1315Z1SP","15.0(2)SE4"
"2500525","Switch","WS-C2960-24TT-L","FOC1144X2N2","12.2(52)SE"
"2501542","Switch","WS-C2960-48TC-L","FOC1209Z60S","15.0(2)SE4"
"2501586","Switch","WS-C2960-24TT-L","FCQ1644X4NM","12.2(55)SE9"
"2500960","Switch","WS-C2960-48TC-L","FOC1105U171","12.2(55)SE9"
"2501391","Switch","WS-C3560G-24TS-E","FOC1047Y4YY","12.2(25)SEE2"
"2500260","Switch","WS-C3560-48PS-E","FDO1235X29C","12.2(55)SE9"
"250492","SWL_1","WS-C3560-48PS-E","FDO1317Y0B7","12.2(25)SEE3"
"2500153","Switch","WS-C3560-48PS-E","FDO1307Y3BT","12.2(25)SEE3"
"2500271","Router","CISCO2801","FCZ1201900A","12.4(20070109:001739)"
"2501424","Switch","WS-C3560-48PS-E","FDO1307Y3AZ","12.2(25)SEE3"
"2501984","SW2","WS-C2960-48TC-L","FOC1021X0X8","12.2(25)SEE3"
"2500164","Switch","WS-C2960-48TC-L","FOC1026X0NN","15.0(2)SE4"
"2501984","Router","CISCO2811","FCZ092970JS","12.4(15)T3"
"2500643","Switch","WS-C2960-24TT-L","FOC1227V25J","12.2(46)SE"
"2501170","Switch","WS-C3750-24PS-S","FDO1314Y029","12.2(55)SE6"
"2501074","ap-demo","WS-C3560V2-24PS-E","FDO1646X0BC","12.2(55)SE5"
"2500186","Switch","WS-C2960G-24TC-L","FOC1432V76W","12.2(55)SE9"
"2501133","Switch","WS-C3560-48PS-S","CAT1123NK1P","12.2(55)SE11"
"2501343","Switch","WS-C3550-48","CAT0713X0CS","12.2(25)SEE3"
"2501811","Switch","WS-C3560-24TS-S","FDO1210Z2A2","12.2(46)SE"
"2501376","MLS2-1","WS-C3560-24TS-S","CAT0919R17A","15.0(2)SE4"
"2500621","MLS2-2","WS-C3560-24TS-S","CAT1007Z10R","15.0(2)SE4"
"2500606","Switch","WS-C3650-48TS","FDO1824Q18E","03.06.00E"
"2500120","Switch","WS-C3560-48PS-S","FDO1211X5TH","12.2(25)SEE3"
"2501321","Switch","WS-C3560-48PS-E","CAT1018N2R0","12.2(25)SEE3"
"2501774","Switch","WS-C3750G-24TS-E1U,","FOC1409Y1S0","12.2(50)SE5"
"2500385","Switch","WS-C3750G-24TS-S","FDO1307X0RP","12.2(35)SE5"
"2501800","Switch","WS-C3750G-24TS-E","CAT0933R3ZT","12.2(25)SEE2"
"2500901","Switch","WS-C3750G-24TS-S","FDO1307X0RS","12.2(35)SE5"
"2501240","VMWare2","WS-C3750G-24TS-E","CAT0823N11H","12.2(25)SEE2"
"2501472","Switch","WS-C3750-48TS-E","FDO1136X32Y","12.2(55)SE10"
"2500562","Switch","WS-C3750-24PS-S","CAT1120NL71","12.2(25)SEE4"
"2501225","Switch","WS-C3750G-24TS-E1U,","FOC1409Y1V2","12.2(50)SE5"
